$line=o
{prel1}
b
0   N12N12N10
0 320
0  78N10
0 323
0   0
0 8 2
0  6
0   9
0 862
0   N12
b

b
0 N1170
05
0    N12
03
01
0  9
0  78
0 5
01
03
b

b
0  N147
06 0
0    N12
0 N105
0   8
0 8
0 N1397
06
05
0 8
b

b
0  N14
0  N10
03
0 6
0 5
0  78
03
0    N10
0  N10
0   N14
b

b
0  7
0  57
0   N15
0    8
0  95
0   0
0 3 3
0   N107
0   8
0  2
b

b
0  0
0    9N10
0   8
0    3
0    N12N10
0 3  1
0    N10
0 62 0
0   N14
0   53
b

b
0 6
0  N12
0  3  3
0   N15
0   N14
0 3
01 2 0
0  9
0   53
0 3 35
b

b
0  620
0  701
0   2 3
0   N110
0  701
0     3
0   8
0     5
0    1
0     8
b

b
0    N12N10
0   2
0   3
0  35
0 12
0 30
0  95
0  N10
0 8
0     N13
b

b
0 3 3
0    5
0  N122
0   N10
0    8
0 30
0   7
0 0
0012
0 N10
b

b
0  N10N12N13
03 0
0 557
08
0 N10N103
0 N1175
0  2
051
0   N12N13
035
b

b
0 N13N107
00
0  N15
031
05
0  3
0  N143
0  N10
0    7
0 8  3
b

b
0 N109
01  0
0 87 1
003 0
0 2
0  775
0 N10
0630
05 2
0  35
b

b
0  N12
05  35
0   7
0   85
0  N14 3
0 8  1
0 6
0  95
0 3
0   N110
b

b
0    N12
0   N12N10
0   3
0   2
0    5
0   N144
0   N155
0  75
0   N14
0  N103
b

b
0 8
0  N140
063
0 00  3
0  N12
0   9N10
0 323
0  79N10
0 202
0  745
b

b
0    N103
0 320
0   8 3
0  7
0   70
0  0 1
0     8
0 3 45
0 N10
06
b

b
0  N14N12
035
013
0   N14
0    N12
0 33
0   N14N12
0   5
0   N128
0 872
b

b
0   N11
0  20
0   8 3
0  0
0  2
0    N13
0 1
053
0 N110
0  2
b

b
0  3
0   N10
0  7
00
056
035
013
00
0 22
0 33
b

b
0  N12  3
0   8
0  N1070
0 50 3
0  7
0 85
0  3
0  N1075
00   0
0    N108
b

b
0   N12
0    N15
0   8
0    N12N10
0     N15
0   3
0   2
0    56
01
00 0  3
b

b
0  7
0     N13
03  2
0   0
0 6
0   N14N108
0 3
0   3
0   N1075
0   957
b

b
0   23
0  235
0   N12
0    3
0    2
0    N155
0   9 3
0  2
0  0
0   3
b

b
0    78
0 12 0
0  7 1
0  0
0  9
0 62 0
0 5  3
0     N10
0   N12
0   2
b

b
0     N13
0  62
0   N12
0   2
0   3
0   5
0  57
0  0
00 1
0  2
b

b
0   N12
0 1
0  4
0   N10N12
0   N128
0 50
0 62
0 83
0  N10
00
b

b
0  7
0 12
0   3
0  7
0  95
01 20
0  N1281
0     3
0 620
0 5  0
b

b
0  0 3
0   N128N10
0   N1175
0    56
0 3 20
0  6
0  735
0  N10
0   0
00  23
b

b
0 3 31
0 1  0
0  78 3
0  2
0     N15
0  779N10
0  N14
053245
e
